node_id,display_text,node_type,lat,lng
ms_212,212,manuscript,,
ms_239,239,manuscript,,
ms_91,91,manuscript,,
ms_124,124,manuscript,,
ms_173,173,manuscript,,
ms_235,235,manuscript,,
ms_179,179,manuscript,,
ms_193,193,manuscript,,
ms_143,143,manuscript,,
ms_13,13,manuscript,,
ms_290,290,manuscript,,
ms_208,208,manuscript,,
ms_234,234,manuscript,,
ms_280,280,manuscript,,
ms_224,224,manuscript,,
ms_256,256,manuscript,,
ms_100,100,manuscript,,
ms_214,214,manuscript,,
ms_295,295,manuscript,,
ms_233,233,manuscript,,
ms_130,130,manuscript,,
ms_134,134,manuscript,,
ms_162,162,manuscript,,
ms_181,181,manuscript,,
ms_166,166,manuscript,,
ms_77,77,manuscript,,
ms_28,28,manuscript,,
ms_128,128,manuscript,,
ms_60,60,manuscript,,
ms_165,165,manuscript,,
ms_42,42,manuscript,,
ms_197,197,manuscript,,
ms_200,200,manuscript,,
ms_261,261,manuscript,,
ms_191,191,manuscript,,
ms_156,156,manuscript,,
ms_291,291,manuscript,,
ms_62,62,manuscript,,
ms_48,48,manuscript,,
ms_56,56,manuscript,,
ms_52,52,manuscript,,
ms_120,120,manuscript,,
ms_115,115,manuscript,,
ms_121,121,manuscript,,
ms_81,81,manuscript,,
ms_15,15,manuscript,,
ms_176,176,manuscript,,
ms_184,184,manuscript,,
ms_227,227,manuscript,,
ms_18,18,manuscript,,
ms_247,247,manuscript,,
ms_218,218,manuscript,,
ms_127,127,manuscript,,
ms_23,23,manuscript,,
ms_109,109,manuscript,,
ms_152,152,manuscript,,
ms_73,73,manuscript,,
ms_98,98,manuscript,,
ms_260,260,manuscript,,
ms_69,69,manuscript,,
ms_270,270,manuscript,,
ms_174,174,manuscript,,
ms_96,96,manuscript,,
ms_142,142,manuscript,,
ms_54,54,manuscript,,
ms_58,58,manuscript,,
ms_36,36,manuscript,,
ms_154,154,manuscript,,
ms_213,213,manuscript,,
ms_285,285,manuscript,,
ms_31,31,manuscript,,
ms_298,298,manuscript,,
ms_149,149,manuscript,,
ms_177,177,manuscript,,
ms_284,284,manuscript,,
